p_c,nu,loss,delta_loss,log10_one_plus_delta_loss
0.08066666666666666,1.975,343.9604831738237,317.4030212413983,2.5029771799897604
0.08066666666666666,2.0229166666666667,345.3715894934303,318.81412756100485,2.504897644482977
0.08066666666666666,2.0708333333333333,352.3527989257185,325.79533699329306,2.514275851004411
0.08066666666666666,2.11875,364.2276734932122,337.67021156078675,2.5297769990547088
0.08066666666666666,2.1666666666666665,380.39995511193285,353.8424931795074,2.5500356220062153
0.08066666666666666,2.214583333333333,400.34330989347586,373.7858479610504,2.5737831834204834
0.08066666666666666,2.2625,423.5924814143608,397.03501948193536,2.599921283376963
0.08066666666666666,2.310416666666667,449.7356503635851,423.17818843115964,2.6275483329982467
0.08066666666666666,2.3583333333333334,478.4078274092436,451.8503654768182,2.6559547225800517
0.08066666666666666,2.40625,509.285131465487,482.72766953306154,2.6846009300219817
0.08066666666666666,2.4541666666666666,542.0798272704632,515.5223653380377,2.7130891311462566
0.08066666666666666,2.502083333333333,576.5360147604968,549.9785528280713,2.7411346940065893
0.08066666666666666,2.55,612.4258785662505,585.8684166338251,2.768540737813571
0.08066666666666666,2.597916666666667,649.5464194425866,622.9889575101612,2.795176904209929
0.08066666666666666,2.6458333333333335,687.7166009123002,661.1591389798748,2.82096237746847
0.08066666666666666,2.69375,726.7748541494921,700.2173922170666,2.8458526793131247
0.08066666666666666,2.7416666666666667,766.5768924076331,740.0194304752076,2.869829595884224
0.08066666666666666,2.7895833333333333,806.9937933306115,780.4363313981861,2.8928935990553257
0.08066666666666666,2.8375,847.9103134615912,821.3528515291657,2.915058202687566
0.08066666666666666,2.8854166666666665,889.2234043453275,862.665942412902,2.936345794075257
0.08066666666666666,2.933333333333333,930.8409039420782,904.2834420096527,2.9567845770261867
0.08066666666666666,2.98125,972.6803807514785,946.1229188190531,2.9764063459521988
0.08066666666666666,3.029166666666667,1014.668111181178,988.1106492487526,2.9952448777146734
0.08066666666666666,3.0770833333333334,1056.738173371088,1030.1807114386625,3.0133347808056854
0.08066666666666666,3.125,1098.8316429697306,1072.2741810373052,3.0307106819851732
0.08066666666666666,3.1729166666666666,1140.895878314055,1114.3384163816295,3.0474066611668413
0.08066666666666666,3.220833333333333,1182.8838841381748,1156.3264222057494,3.0634558683456774
0.08066666666666666,3.26875,1224.7537443720585,1198.196282439633,3.0788902735106234
