d,p,batch,batch_shots,failure_count,failure_rate
7,0.015,82,1000,0,0.0
7,0.015,83,1000,0,0.0
7,0.015,84,1000,0,0.0
7,0.015,85,1000,0,0.0
7,0.015,86,1000,0,0.0
7,0.015,87,1000,0,0.0
7,0.015,88,1000,0,0.0
7,0.015,89,1000,0,0.0
7,0.015,90,1000,0,0.0
7,0.015,91,1000,0,0.0
7,0.015,92,1000,0,0.0
7,0.015,93,1000,0,0.0
7,0.015,94,1000,0,0.0
7,0.015,95,1000,0,0.0
7,0.015,96,1000,0,0.0
7,0.015,97,1000,0,0.0
7,0.015,98,1000,0,0.0
7,0.015,99,1000,0,0.0
7,0.015,100,1000,0,0.0
7,0.02,1,1000,0,0.0
7,0.02,2,1000,1,0.001
7,0.02,3,1000,0,0.0
7,0.02,4,1000,0,0.0
7,0.02,5,1000,0,0.0
7,0.02,6,1000,0,0.0
7,0.02,7,1000,0,0.0
7,0.02,8,1000,0,0.0
7,0.02,9,1000,1,0.001
7,0.02,10,1000,0,0.0
7,0.02,11,1000,0,0.0
7,0.02,12,1000,0,0.0
7,0.02,13,1000,0,0.0
7,0.02,14,1000,2,0.002
7,0.02,15,1000,0,0.0
7,0.02,16,1000,0,0.0
7,0.02,17,1000,0,0.0
7,0.02,18,1000,0,0.0
7,0.02,19,1000,0,0.0
7,0.02,20,1000,0,0.0
7,0.02,21,1000,0,0.0
7,0.02,22,1000,0,0.0
7,0.02,23,1000,2,0.002
7,0.02,24,1000,0,0.0
7,0.02,25,1000,0,0.0
7,0.02,26,1000,1,0.001
7,0.02,27,1000,0,0.0
7,0.02,28,1000,1,0.001
7,0.02,29,1000,0,0.0
7,0.02,30,1000,0,0.0
7,0.02,31,1000,0,0.0
7,0.02,32,1000,0,0.0
7,0.02,33,1000,0,0.0
7,0.02,34,1000,0,0.0
7,0.02,35,1000,0,0.0
7,0.02,36,1000,1,0.001
7,0.02,37,1000,1,0.001
7,0.02,38,1000,0,0.0
7,0.02,39,1000,0,0.0
7,0.02,40,1000,0,0.0
7,0.02,41,1000,0,0.0
7,0.02,42,1000,0,0.0
7,0.02,43,1000,0,0.0
7,0.02,44,1000,0,0.0
7,0.02,45,1000,0,0.0
7,0.02,46,1000,0,0.0
7,0.02,47,1000,0,0.0
7,0.02,48,1000,0,0.0
7,0.02,49,1000,1,0.001
7,0.02,50,1000,0,0.0
7,0.02,51,1000,0,0.0
