construction,error_channel,logical_observable,distance,p_x,p_z,shots,master_seed,series_seed,logical_failures,logical_failure_rate,logical_failure_standard_error,logical_state,boundary_orientation,clock
as,x_only,logical_x,13,0.002,0.0,50000,1235,2626298694903912375,10891,0.21782,0.0018459385016841704,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.004,0.0,50000,1235,2626298694903912375,15197,0.30394,0.0020569904054224463,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.006,0.0,50000,1235,2626298694903912375,17122,0.34244,0.002122144417328849,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.008,0.0,50000,1235,2626298694903912375,18478,0.36956,0.0021586357098871503,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.01,0.0,50000,1235,2626298694903912375,19503,0.39006,0.0021813445229949347,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.012,0.0,50000,1235,2626298694903912375,20101,0.40202,0.002192714845117805,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.014,0.0,50000,1235,2626298694903912375,20508,0.41016,0.0021996762234474418,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.016,0.0,50000,1235,2626298694903912375,21084,0.42168,0.002208465429206443,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.018,0.0,50000,1235,2626298694903912375,21455,0.4291,0.002213473243569933,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.02,0.0,50000,1235,2626298694903912375,21556,0.43112,0.0022147484985884968,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.022,0.0,50000,1235,2626298694903912375,22089,0.44178,0.0022208576343385905,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.024,0.0,50000,1235,2626298694903912375,22411,0.44822,0.0022240451056577066,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.026,0.0,50000,1235,2626298694903912375,22708,0.45416,0.002226650823097326,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.028,0.0,50000,1235,2626298694903912375,22784,0.45568,0.002227266205912531,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.03,0.0,50000,1235,2626298694903912375,22932,0.45864,0.002228404588040511,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.032,0.0,50000,1235,2626298694903912375,23370,0.4674,0.0022313101084340562,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.034,0.0,50000,1235,2626298694903912375,23508,0.47016,0.0022320823210625544,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.036,0.0,50000,1235,2626298694903912375,23695,0.4739,0.002233019435652095,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.038,0.0,50000,1235,2626298694903912375,23837,0.47674,0.002233647118056028,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.04,0.0,50000,1235,2626298694903912375,23870,0.4774,0.0022337826214741665,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.042,0.0,50000,1235,2626298694903912375,24013,0.48026,0.002234324651432732,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.044,0.0,50000,1235,2626298694903912375,24233,0.48466,0.0022350153663901287,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.046,0.0,50000,1235,2626298694903912375,24135,0.4827,0.002234729111100493,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.048,0.0,50000,1235,2626298694903912375,24197,0.48394,0.002234914210434038,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.05,0.0,50000,1235,2626298694903912375,24284,0.48568,0.002235150722434619,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.052,0.0,50000,1235,2626298694903912375,24178,0.48356,0.0022348589503590603,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.054,0.0,50000,1235,2626298694903912375,24462,0.48924,0.0022355501443716264,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.056,0.0,50000,1235,2626298694903912375,24510,0.4902,0.0022356384323051885,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.058,0.0,50000,1235,2626298694903912375,24394,0.48788,0.0022354109492440087,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.06,0.0,50000,1235,2626298694903912375,24642,0.49284,0.0022358386990120735,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.062,0.0,50000,1235,2626298694903912375,24683,0.49366,0.0022358882100856473,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.064,0.0,50000,1235,2626298694903912375,24815,0.4963,0.0022360067531203925,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.066,0.0,50000,1235,2626298694903912375,24592,0.49184,0.002235770177813453,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.068,0.0,50000,1235,2626298694903912375,24700,0.494,0.0022359069748091043,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.07,0.0,50000,1235,2626298694903912375,24738,0.49476,0.0022359451800077748,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.072,0.0,50000,1235,2626298694903912375,24829,0.49658,0.0022360156689969772,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.074,0.0,50000,1235,2626298694903912375,24939,0.49878,0.002236061321162727,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.076,0.0,50000,1235,2626298694903912375,24850,0.497,0.002236027727913945,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.078,0.0,50000,1235,2626298694903912375,24954,0.49908,0.0022360641922807138,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.08,0.0,50000,1235,2626298694903912375,24833,0.49666,0.0022360180875833718,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.082,0.0,50000,1235,2626298694903912375,24814,0.49628,0.002236006089437146,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.084,0.0,50000,1235,2626298694903912375,25029,0.50058,0.002236066473072748,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.086,0.0,50000,1235,2626298694903912375,24950,0.499,0.0022360635053593624,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.088,0.0,50000,1235,2626298694903912375,24814,0.49628,0.002236006089437146,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.09,0.0,50000,1235,2626298694903912375,24807,0.49614,0.0022360013434700792,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.092,0.0,50000,1235,2626298694903912375,25009,0.50018,0.00223606783260258,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.094,0.0,50000,1235,2626298694903912375,24862,0.49724,0.0022360339102974265,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.096,0.0,50000,1235,2626298694903912375,24874,0.49748,0.0022360395774672684,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.098,0.0,50000,1235,2626298694903912375,25039,0.50078,0.0022360652566506193,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.1,0.0,50000,1235,2626298694903912375,25041,0.50082,0.0022360649704335515,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.0,0.0,50000,1235,2626298694903912375,0,0.0,0.0,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.002,0.0,50000,1235,2626298694903912375,12970,0.2594,0.001960161421924225,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.004,0.0,50000,1235,2626298694903912375,16944,0.33888,0.00211679165531235,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.006,0.0,50000,1235,2626298694903912375,18912,0.37824,0.0021687531090467628,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.008,0.0,50000,1235,2626298694903912375,19831,0.39662,0.0021877503312764004,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.01,0.0,50000,1235,2626298694903912375,20365,0.4073,0.0021973015723837272,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.012,0.0,50000,1235,2626298694903912375,21217,0.42434,0.002210319272865348,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.014,0.0,50000,1235,2626298694903912375,21669,0.43338,0.0022161307524602423,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.016,0.0,50000,1235,2626298694903912375,22162,0.44324,0.0022216133885084506,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.018,0.0,50000,1235,2626298694903912375,22366,0.44732,0.002223622349231092,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.02,0.0,50000,1235,2626298694903912375,22689,0.45378,0.00222649370805309,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.022,0.0,50000,1235,2626298694903912375,23164,0.46328,0.0022300297827607595,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.024,0.0,50000,1235,2626298694903912375,23234,0.46468,0.00223048199992737,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.026,0.0,50000,1235,2626298694903912375,23352,0.46704,0.0022312043312973377,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.028,0.0,50000,1235,2626298694903912375,23419,0.46838,0.0022315921473244167,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.03,0.0,50000,1235,2626298694903912375,23640,0.4728,0.0022327568609232847,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.032,0.0,50000,1235,2626298694903912375,23661,0.47322,0.0022328583994512506,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.034,0.0,50000,1235,2626298694903912375,23909,0.47818,0.0022339377233933804,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.036,0.0,50000,1235,2626298694903912375,23847,0.47694,0.0022336885924407637,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.038,0.0,50000,1235,2626298694903912375,24172,0.48344,0.0022348412310497583,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.04,0.0,50000,1235,2626298694903912375,24305,0.4861,0.0022352037491020814,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.042,0.0,50000,1235,2626298694903912375,24518,0.49036,0.0022356523450662003,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.044,0.0,50000,1235,2626298694903912375,24363,0.48726,0.0022353419979949376,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.046,0.0,50000,1235,2626298694903912375,24721,0.49442,0.0022359287269499446,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.048,0.0,50000,1235,2626298694903912375,24381,0.48762,0.0022353824531833474,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.05,0.0,50000,1235,2626298694903912375,24484,0.48968,0.0022355916335502777,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.052,0.0,50000,1235,2626298694903912375,24750,0.495,0.00223595617130569,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.054,0.0,50000,1235,2626298694903912375,24515,0.4903,0.002235647154628834,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.056,0.0,50000,1235,2626298694903912375,24597,0.49194,0.0022357774325723924,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.058,0.0,50000,1235,2626298694903912375,25101,0.50202,0.0022360497293217787,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.06,0.0,50000,1235,2626298694903912375,25034,0.50068,0.002236065909583168,plus,x_ns,gate_layer
as,x_only,logical_x,15,0.062,0.0,50000,1235,2626298694903912375,24909,0.49818,0.0022360531639475834,plus,x_ns,gate_layer
